Analysis_Type,Threshold_pct,Signal,SL_pct,SG_pct,Operacoes,PL_pts_total,PL_pts_medio,PL_BRL_total,PL_BRL_medio,PL_BRL_max,PL_BRL_min,PL_pct_medio,SG_hits,SL_hits,EOD_hits,WinRate_pct,LossRate_pct,Recomendada,periodo,tipo_periodo
open_vs_prev_close,1%,SELL,0.0075,0.0075,39,12439.15,318.9526,2487.83,63.7905,203.46,-204.48,0.25,26,13,0,66.67,33.33,True,2024-01-01_2025-01-01,anual
open_vs_prev_max_high,1%,SELL,0.005,0.005,17,4493.6,264.3294,898.74,52.8671,136.36,-133.75,0.2059,12,5,0,70.59,29.41,True,2024-01-01_2025-01-01,anual
open_vs_prev_max_high,1%,SELL,0.0075,0.0075,17,4881.47,287.1453,976.3,57.4294,204.54,-200.63,0.2206,11,6,0,64.71,35.29,True,2024-01-01_2025-01-01,anual
open_vs_prev_open,2%,SELL,0.0075,0.0075,12,3839.1,319.925,767.82,63.985,201.68,-200.61,0.25,8,4,0,66.67,33.33,True,2024-01-01_2025-01-01,anual
open_vs_prev_close,1%,SELL,0.0075,0.005,122,33422.82,273.9575,6684.58,54.7916,187.65,-276.04,0.2029,93,29,0,76.23,23.77,True,2024-01-01_2026-03-01,anual
open_vs_prev_close,1%,SELL,0.0075,0.0075,122,42896.54,351.611,8579.33,70.3224,281.48,-276.04,0.2582,82,40,0,67.21,32.79,True,2024-01-01_2026-03-01,anual
open_vs_prev_close,2%,BUY,0.0075,0.0075,14,7024.21,501.7293,1404.85,100.3464,276.22,-192.71,0.3214,10,4,0,71.43,28.57,True,2024-01-01_2026-03-01,anual
open_vs_prev_close,2%,SELL,0.0075,0.0075,18,7295.3,405.2944,1459.07,81.0594,284.27,-278.78,0.25,12,6,0,66.67,33.33,True,2024-01-01_2026-03-01,anual
open_vs_prev_max_high,2%,SELL,0.0075,0.005,10,2624.44,262.444,524.89,52.489,185.76,-206.3,0.125,7,3,0,70.0,30.0,True,2024-01-01_2026-03-01,anual
open_vs_prev_close,1%,BUY,0.0075,0.0075,49,15641.46,319.2135,3128.28,63.8424,272.42,-281.71,0.2602,33,16,0,67.35,32.65,True,2025-01-01_2026-03-01,anual
