,Analysis_Type,Threshold_pct,Signal,SL_pct,SG_pct,periodos_aprovados,winrate_medio,winrate_min,medio_brl,total_brl,operacoes_total,periodos_lista
1,open_vs_prev_close,1%,SELL,0.0075,0.0075,6,72.01666666666667,66.67,88.13136666666666,24720.79,323,"2024-01-01_2024-06-01, 2024-01-01_2025-01-01, 2024-01-01_2026-03-01, 2025-01-01_2025-06-01, 2025-01-01_2026-03-01, 2025-06-01_2026-01-01"
2,open_vs_prev_close,1%,SELL,0.0075,0.005,5,80.992,76.23,70.3261,17580.58,284,"2024-01-01_2024-06-01, 2024-01-01_2026-03-01, 2025-01-01_2025-06-01, 2025-01-01_2026-03-01, 2025-06-01_2026-01-01"
3,open_vs_prev_open,2%,SELL,0.0075,0.0075,3,70.32000000000001,64.29,91.25153333333334,3837.41,41,"2024-01-01_2025-01-01, 2025-06-01_2026-01-01, 2026-01-01_2026-03-01"
4,open_vs_prev_close,1%,BUY,0.0075,0.0075,3,69.42,67.35,73.5349,6577.05,93,"2025-01-01_2025-06-01, 2025-01-01_2026-03-01, 2025-06-01_2026-01-01"
5,open_vs_prev_close,1%,SELL,0.005,0.005,2,76.275,70.73,70.571,3330.37,52,"2024-01-01_2024-06-01, 2025-06-01_2026-01-01"
6,open_vs_prev_min_low,1%,BUY,0.0075,0.005,2,75.0,75.0,55.774649999999994,1799.6,32,"2025-01-01_2026-03-01, 2025-06-01_2026-01-01"
7,open_vs_prev_max_high,1%,SELL,0.005,0.005,2,73.53,70.59,65.8356,2238.41,34,"2024-01-01_2025-01-01, 2025-06-01_2026-01-01"
8,open_vs_prev_min_low,1%,BUY,0.005,0.005,2,72.5,70.0,66.50265,2085.36,32,"2025-01-01_2026-03-01, 2025-06-01_2026-01-01"
9,open_vs_prev_max_high,2%,SELL,0.0075,0.005,2,70.0,70.0,52.489,1049.78,20,"2024-01-01_2026-03-01, 2025-01-01_2026-03-01"
10,open_vs_prev_close,2%,SELL,0.0075,0.0075,2,65.69,64.71,77.6741,2721.98,35,"2024-01-01_2026-03-01, 2025-01-01_2026-03-01"
11,open_vs_prev_max_high,1%,SELL,0.0075,0.0075,2,64.71,64.71,60.8988,2070.56,34,"2024-01-01_2025-01-01, 2025-06-01_2026-01-01"
12,open_vs_prev_close,1%,SELL,0.005,0.0075,2,62.31,60.98,75.78200000000001,3917.05,52,"2024-01-01_2024-06-01, 2025-06-01_2026-01-01"
13,open_vs_prev_close,1%,SELL,0.0075,0.002,1,100.0,100.0,51.2036,563.24,11,2024-01-01_2024-06-01
14,open_vs_prev_open,2%,SELL,0.0075,0.005,1,80.0,80.0,73.2973,1099.46,15,2025-06-01_2026-01-01
15,open_vs_prev_close,1%,BUY,0.0075,0.005,1,77.27,77.27,53.04,1166.88,22,2025-01-01_2025-06-01
16,open_vs_prev_max_vol_close,1%,SELL,0.0075,0.0075,1,76.92,76.92,104.5238,1358.81,13,2024-01-01_2024-06-01
17,open_vs_prev_max_vol_close,1%,SELL,0.0075,0.005,1,76.92,76.92,55.0162,715.21,13,2024-01-01_2024-06-01
18,open_vs_prev_max_high,1%,SELL,0.0075,0.005,1,76.47,76.47,61.5959,1047.13,17,2025-06-01_2026-01-01
19,open_vs_prev_open,2%,BUY,0.0075,0.005,1,76.47,76.47,57.8329,983.16,17,2025-01-01_2026-03-01
20,open_vs_prev_max_high,1%,SELL,0.005,Natural,1,75.0,75.0,159.025,1908.3,12,2024-01-01_2024-06-01
21,open_vs_prev_max_high,1%,SELL,0.0075,Natural,1,75.0,75.0,142.9375,1715.25,12,2024-01-01_2024-06-01
22,open_vs_prev_close,1%,SELL,0.002,0.005,1,72.73,72.73,79.3591,872.95,11,2024-01-01_2024-06-01
23,open_vs_prev_close,2%,BUY,0.0075,0.0075,1,71.43,71.43,100.3464,1404.85,14,2024-01-01_2026-03-01
24,open_vs_prev_open,2%,SELL,0.005,0.0075,1,66.67,66.67,100.8693,1513.04,15,2025-06-01_2026-01-01
25,open_vs_prev_open,2%,SELL,0.005,0.005,1,66.67,66.67,50.7893,761.84,15,2025-06-01_2026-01-01
26,open_vs_prev_min_low,1%,BUY,0.0075,0.0075,1,65.0,65.0,69.98,1399.6,20,2025-01-01_2026-03-01
27,open_vs_prev_max_high,1%,SELL,0.005,0.0075,1,64.71,64.71,90.5494,1539.34,17,2025-06-01_2026-01-01
28,open_vs_prev_open,2%,BUY,0.0075,0.0075,1,64.71,64.71,66.1324,1124.25,17,2025-01-01_2026-03-01
29,open_vs_prev_close,1%,BUY,0.005,0.0075,1,63.64,63.64,73.2273,1611.0,22,2025-01-01_2025-06-01
30,open_vs_prev_max_vol_close,1%,SELL,0.005,0.0075,1,61.54,61.54,70.0685,910.89,13,2024-01-01_2024-06-01
